firm_id,name,liner,special,tramper,tanker,D/W,Source,group,富士,興銀,長銀,安田,第一,三井,三井信託,住友,住友信託,三菱,勧銀,三菱信託,神戸,大和,三和,東海,安田信託,その他,firm_type
1,日本郵船,526000,43724,60917,70089,NA,NA,Nippon Yusen,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,main
2,三菱海運,70608,98768,80481,83604,NA,NA,Nippon Yusen,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,main
3,新和海運,0,63960,155550,25104,NA,NA,Nippon Yusen,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
4,東京船舶,48768,0,16535,0,NA,NA,Nippon Yusen,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,affiliate
5,共栄タンカー,0,0,0,55798,NA,NA,Nippon Yusen,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,affiliate
6,太平洋海運,0,0,33566,132655,NA,NA,Nippon Yusen,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,affiliate
7,太平洋汽船,0,22400,0,0,NA,NA,Nippon Yusen,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,北海道東北開発公庫,affiliate
8,大洋商船,0,0,0,144726,NA,NA,Nippon Yusen,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,affiliate
9,大阪商船,487213,54319,66823,27906,NA,NA,Mitsui O.S.K. Lines,NA,1,1,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,常陽,main
10,三井船舶,352383,48029,130541,161115,NA,NA,Mitsui O.S.K. Lines,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,main
11,第一中央汽船,0,70993,112659,0,NA,NA,Mitsui O.S.K. Lines,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,東京,affiliate
12,日本海汽船,2278,0,45199,0,NA,NA,Mitsui O.S.K. Lines,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,affiliate
13,日東商船,45001,43419,111136,224084,NA,NA,Japan Lines,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,協和,main
14,大同海運,119712,26936,103049,58442,NA,NA,Japan Lines,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,main
15,川崎汽船,359726,41068,120784,115012,NA,NA,Kawasaki Kisen Kaisha,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,main
16,飯野海運,117439,0,94197,250173,NA,NA,Kawasaki Kisen Kaisha,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,埼玉,main
17,山下汽船,114392,41692,152143,21232,NA,NA,Yamashita-Shinnihon Kisen,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,main
18,新日本汽船,136498,13729,108193,21137,NA,NA,Yamashita-Shinnihon Kisen,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,main
19,玉井商船,0,10359,13831,0,NA,NA,Yamashita-Shinnihon Kisen,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,affiliate
20,日正汽船,0,29500,58277,85243,NA,NA,Yamashita-Shinnihon Kisen,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
21,森田汽船,0,0,0,88551,NA,NA,Yamashita-Shinnihon Kisen,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,affiliate
22,中村汽船,0,7325,4172,0,NA,NA,Yamashita-Shinnihon Kisen,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,affiliate
23,日本油槽船,0,44957,47668,48959,NA,NA,Showa Line,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,main
24,日産汽船,0,53540,166102,0,NA,NA,Showa Line,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,main
25,照国海運,0,48035,0,52707,NA,NA,Showa Line,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,affiliate
26,日之出汽船,0,0,76382,0,NA,NA,Showa Line,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,affiliate
