firm_id,40firms,source_name,source_data,type,定期船（G/T）,専用船,不定期船,油槽船,D/W,海運企業集約資料より,一般貨物船・貨客船,専用船,油槽船,総運航船腹(not sum),group,major stockholder,富士,興銀,長銀,安田,第一,三井,三井信託,住友,住友信託,三菱,勧銀,三菱信託,神戸,大和,三和,東海,安田信託,その他
1,日本郵船,『s38外航船運航業者』,,合併会社,526000,43724,60917,70089,,,530718,141968,109597,1166299,Nippon Yusen,,1,1,1,1,1,,,,,1,1,,,,,,,
2,三菱海運,『s38外航船運航業者』,,合併会社,70608,98768,80481,83604,,,185100,33811,100405,572451,Nippon Yusen,,,1,1,,,,,,,1,,1,,,,,,
3,新和海運,『s38外航船運航業者』,,系列会社,0,63960,155550,25104,,,181609,146510,41273,512357,Nippon Yusen,,,1,1,,1,,,,,1,,,,,,,,
4,東京船舶,『s38外航船運航業者』,,系列会社,48768,0,16535,0,,,67960,0,0,87361,Nippon Yusen,,,1,1,,,,,,,1,,1,,,,,,
5,共栄タンカー,『s38外航船運航業者』,,系列会社,0,0,0,55798,,,0,12519,218654,290913,Nippon Yusen,,,1,1,,1,,,,,,,,1,1,1,,,
6,太平洋海運,『s38外航船運航業者』,,系列会社,0,0,33566,132655,,,26728,0,91007,128130,Nippon Yusen,,,1,1,,,,,,,1,,1,,1,,1,,
7,太平洋汽船,『s38外航船運航業者』,,系列会社,0,22400,0,0,,,0,41121,0,41121,Nippon Yusen,,1,1,1,,,,,,,1,1,,,,,,,北海道東北開発公庫
8,大洋商船,『s38外航船運航業者』,,系列会社,0,0,0,144726,,,0,0,188962,0,Nippon Yusen,,,1,1,,,,,,,1,,1,,,,,,
9,大阪商船,『s38外航船運航業者』,,合併会社,487213,54319,66823,27906,,,69696,49209,487960,907594,Mitsui O.S.K. Lines,,,1,1,,,,,1,1,1,,1,1,,,,,常陽
10,三井船舶,三井汽船と同じ？,,合併会社,352383,48029,130541,161115,,,0,278112,639966,1291725,Mitsui O.S.K. Lines,,1,1,1,,,,,,,,,,,,,,,
11,第一中央汽船,『s38外航船運航業者』,,系列会社,0,70993,112659,0,,,55076,0,127032,304416,Mitsui O.S.K. Lines,,,1,,,,1,1,1,1,,,,1,1,,,,東京
12,日本海汽船,『s38外航船運航業者』,,系列会社,2278,0,45199,0,,,0,0,78194,97924,Mitsui O.S.K. Lines,,1,1,1,,,,,,,1,1,,,,,,,
13,日東商船,『s38外航船運航業者』,,合併会社,45001,43419,111136,224084,,,155609,49229,361428,737564,Japan Lines,,1,1,1,,1,,,,,,1,,1,1,,,,協和
14,大同海運,『s38外航船運航業者』,,合併会社,119712,26936,103049,58442,,,233731,21657,85660,509128,Japan Lines,,1,1,1,,,,,,,1,,,,,,,,
15,川崎汽船,『s38外航船運航業者』,,合併会社,359726,41068,120784,115012,,,256534,66280,191671,1059171,Kawasaki Kisen Kaisha,,,1,1,,1,,,,,,,,1,,,1,,
16,飯野海運,『s38外航船運航業者』,,合併会社,117439,0,94197,250173,,,203429,13951,354269,794334,Kawasaki Kisen Kaisha,,,1,1,,1,,,,,,,1,,,,,,埼玉
17,山下汽船,『s38外航船運航業者』,,合併会社,114392,41692,152143,21232,,,235613,66004,68235,585118,Yamashita-Shinnihon Kisen,,,1,1,,,,,,,,,,1,1,1,,,
18,新日本汽船,『s38外航船運航業者』,,合併会社,136498,13729,108193,21137,,,215449,21578,34275,473565,Yamashita-Shinnihon Kisen,,1,1,1,,,,,,,1,,,1,,1,1,,
19,玉井商船,『s38外航船運航業者』,,系列会社,0,10359,13831,0,,,35233,17371,2383,57324,Yamashita-Shinnihon Kisen,,1,1,,,,,,1,,1,,,1,,,,,
20,日正汽船,『s38外航船運航業者』,,系列会社,0,29500,58277,85243,,,33363,53421,124219,399286,Yamashita-Shinnihon Kisen,,1,1,1,,,,1,,,,,,,,,,,
21,森田汽船,『s38外航船運航業者』,,系列会社,0,0,0,88551,,,0,0,140572,140572,Yamashita-Shinnihon Kisen,,,1,1,,,,,1,,1,,,,,1,,,
22,中村汽船,『s38外航船運航業者』,,系列会社,0,7325,4172,0,,,57116,0,0,0,Yamashita-Shinnihon Kisen,,1,1,,,,,,,,,,,1,1,,,,
23,日本油槽船,『s38外航船運航業者』,,合併会社,0,44957,47668,48959,,,69401,70263,118909,328817,Showa Line,,1,1,1,,,,,,,,,,,,,,1,
24,日産汽船,『s38外航船運航業者』,,合併会社,0,53540,166102,0,,,62578,170746,0,361317,Showa Line,,1,1,,,,,,,,,1,,,1,1,,,
