firm_id,40firms,source_name,note,type,定期船（G/T）,専用船,不定期船,油槽船,D/W,海運企業集約資料より,定期船(D/W),専用船(D/W),不定期船(D/W),油槽船(D/W),総運航船腹(not sum),group,major stockholder,富士,興銀,長銀,安田,第一,三井,三井信託,住友,住友信託,三菱,勧銀,三菱信託,神戸,大和,三和,東海,安田信託,その他
1,日本郵船,『s38外航船運航業者』,,合併会社,526000,43724,60917,70089,,,721218,72298,92076,109597,,Nippon Yusen,,1,1,1,1,1,,,,,1,1,,,,,,,
2,三菱海運,『s38外航船運航業者』,,合併会社,70608,98768,80481,83604,,,98150,160830,122022,133604,,Nippon Yusen,,,1,1,,,,,,,1,,1,,,,,,
3,新和海運,『s38外航船運航業者』,,系列会社,0,63960,155550,25104,,,0,98754,235002,0,,Nippon Yusen,,,1,1,,1,,,,,1,,,,,,,,
4,東京船舶,『s38外航船運航業者』,,系列会社,48768,0,16535,0,,,67959,0,24988,0,,Nippon Yusen,,,1,1,,,,,,,1,,1,,,,,,
5,共栄タンカー,『s38外航船運航業者』,,系列会社,0,0,0,55798,,,0,0,0,91007,,Nippon Yusen,,,1,1,,1,,,,,,,,1,1,1,,,
6,太平洋海運,『s38外航船運航業者』,,系列会社,0,0,33566,132655,,,0,0,50025,0,,Nippon Yusen,,,1,1,,,,,,,1,,1,,1,,1,,
7,太平洋汽船,『s38外航船運航業者』,,系列会社,0,22400,0,0,,,0,33633,0,0,,Nippon Yusen,,1,1,1,,,,,,,1,1,,,,,,,北海道東北開発公庫
8,大洋商船,『s38外航船運航業者』,,系列会社,0,0,0,144726,,,0,0,0,236804,,Nippon Yusen,,,1,1,,,,,,,1,,1,,,,,,
9,大阪商船,『s38外航船運航業者』,,合併会社,487213,54319,66823,27906,,,657131,90321,105455,49209,,Mitsui O.S.K. Lines,,,1,1,,,,,1,1,1,,1,1,,,,,常陽
10,三井船舶,三井汽船と同じ,,合併会社,352383,48029,130541,161115,,,487311,75577,193786,266069,,Mitsui O.S.K. Lines,,1,1,1,,,,,,,,,,,,,,,
11,第一中央汽船,『s38外航船運航業者』,,系列会社,0,70993,112659,0,,,0,108509,175838,0,,Mitsui O.S.K. Lines,,,1,,,,1,1,1,1,,,,1,1,,,,東京
12,日本海汽船,『s38外航船運航業者』,,系列会社,2278,0,45199,0,,,1919,0,67069,0,,Mitsui O.S.K. Lines,,1,1,1,,,,,,,1,1,,,,,,,
13,日東商船,『集約資料』,,合併会社,45001,43419,111136,361482,,,65526,65800,167121,367515,,Japan Lines,,1,1,1,,1,,,,,,1,,1,1,,,,協和
14,大同海運,『s38外航船運航業者』,,合併会社,119712,26936,103049,58442,,,161677,42273,157124,95658,,Japan Lines,,1,1,1,,,,,,,1,,,,,,,,
15,川崎汽船,『s38外航船運航業者』,,合併会社,359726,41068,120784,115012,,,490886,66280,183794,191670,,Kawasaki Kisen Kaisha,,,1,1,,1,,,,,,,,1,,,1,,
16,飯野海運,『s38外航船運航業者』,,合併会社,117439,0,94197,250173,,,165841,0,142938,417241,,Kawasaki Kisen Kaisha,,,1,1,,1,,,,,,,1,,,,,,埼玉
17,山下汽船,『s38外航船運航業者』,,合併会社,114392,41692,152143,21232,,,163452,66004,232961,34097,,Yamashita-Shinnihon Kisen,,,1,1,,,,,,,,,,1,1,1,,,
18,新日本汽船,『s38外航船運航業者』,,合併会社,136498,13729,108193,21137,,,186084,21578,160582,34275,,Yamashita-Shinnihon Kisen,,1,1,1,,,,,,,1,,,1,,1,1,,
19,玉井商船,『s38外航船運航業者』,,系列会社,0,10359,13831,0,,,0,17371,21861,0,,Yamashita-Shinnihon Kisen,,1,1,,,,,,1,,1,,,1,,,,,
20,日正汽船,『s38外航船運航業者』,,系列会社,0,29500,58277,85243,,,47175,92939,0,139064,,Yamashita-Shinnihon Kisen,,1,1,1,,,,1,,,,,,,,,,,
21,森田汽船,『s38外航船運航業者』,,系列会社,0,0,0,88551,,,0,0,0,140571,,Yamashita-Shinnihon Kisen,,,1,1,,,,,1,,1,,,,,1,,,
22,中村汽船,『s38外航船運航業者』,,系列会社,0,7325,4172,0,,,0,11622,6341,0,,Yamashita-Shinnihon Kisen,,1,1,,,,,,,,,,,1,1,,,,
23,日本油槽船,『s38外航船運航業者』,,合併会社,0,44957,47668,48959,,,0,72014,71552,76598,,Showa Line,,1,1,1,,,,,,,,,,,,,,1,
24,日産汽船,『s38外航船運航業者』,,合併会社,0,53540,166102,0,,,0,83430,245501,0,,Showa Line,,1,1,,,,,,,,,1,,,1,1,,,
25,照国海運,『s38外航船運航業者』,,系列会社,0,48035,0,52707,,,0,73826,0,92221,,Showa Line,,,1,1,,,,,,,,1,,1,,,,,
26,日之出汽船,『s38外航船運航業者』,,系列会社,0,0,76382,0,,,0,0,112647,0,,Showa Line,,1,1,1,,1,,,,,,,,,,,,1,
