"","id","type","group","liner","special","tramper","tanker","total","HHI","share_liner","share_special","share_tramper","share_tanker","group_id","group_total_tonnage"
"1",1,"(1) main","Nippon Yusen",721218,72298,92076,109597,995189,0.551162424307993,0.724704553607405,0.072647507156932,0.0925211191040094,0.110126820131653,1,2577274
"2",2,"(1) main","Nippon Yusen",98150,160830,122022,133604,514606,0.257681746082427,0.190728440787709,0.312530363035021,0.237117328597024,0.259623867580246,1,2577274
"3",3,"(2) affiliate","Nippon Yusen",0,98754,235002,0,333756,0.583324384158829,0,0.295886815517923,0.704113184482077,0,1,2577274
"4",4,"(2) affiliate","Nippon Yusen",67959,0,24988,0,92947,0.606868612682378,0.731158617276512,0,0.268841382723488,0,1,2577274
"5",5,"(2) affiliate","Nippon Yusen",0,0,0,91007,91007,1,0,0,0,1,1,2577274
"6",6,"(2) affiliate","Nippon Yusen",0,0,50025,0,50025,1,0,0,1,0,1,2577274
"7",7,"(2) affiliate","Nippon Yusen",0,33633,0,0,33633,1,0,1,0,0,1,2577274
"8",8,"(2) affiliate","Nippon Yusen",0,0,0,236804,236804,1,0,0,0,1,1,2577274
"9",54,"(2) affiliate","Nippon Yusen",3396,0,0,0,3396,1,1,0,0,0,1,2577274
"10",73,"(3) wholly-controlled","Nippon Yusen",60706,6399,0,28604,95709,0.496097046133639,0.634276818272054,0.066858916089396,0,0.29886426563855,1,2577274
"11",74,"(3) wholly-controlled","Nippon Yusen",0,0,52759,0,52759,1,0,0,1,0,1,2577274
"12",82,"(3) wholly-controlled","Nippon Yusen",0,0,23304,0,23304,1,0,0,1,0,1,2577274
"13",83,"(3) wholly-controlled","Nippon Yusen",0,0,13607,0,13607,1,0,0,1,0,1,2577274
"14",84,"(3) wholly-controlled","Nippon Yusen",0,0,479,0,479,1,0,0,1,0,1,2577274
"15",85,"(3) wholly-controlled","Nippon Yusen",0,0,31497,4817,36314,0.769894153164606,0,0,0.867351434708377,0.132648565291623,1,2577274
"16",86,"(3) wholly-controlled","Nippon Yusen",0,0,3739,0,3739,1,0,0,1,0,1,2577274
"17",9,"(1) main","Mitsui O.S.K. Lines",657131,90321,105455,49209,902116,0.557279328651062,0.728432928802948,0.100121270435288,0.116897383485051,0.0545484172767139,2,2879216
"18",10,"(1) main","Mitsui O.S.K. Lines",487311,75577,193786,266069,1022743,0.33606934032657,0.476474539547081,0.0738963747490816,0.189476730713385,0.260152354990452,2,2879216
"19",11,"(2) affiliate","Mitsui O.S.K. Lines",0,108509,175838,0,284347,0.528033481179454,0,0.381607683569723,0.618392316430277,0,2,2879216
"20",12,"(2) affiliate","Mitsui O.S.K. Lines",1919,0,67069,0,68988,0.945914644074539,0.0278164318432191,0,0.972183568156781,0,2,2879216
"21",43,"(2) affiliate","Mitsui O.S.K. Lines",0,0,26417,0,26417,1,0,0,1,0,2,2879216
"22",55,"(2) affiliate","Mitsui O.S.K. Lines",0,0,10971,0,10971,1,0,0,1,0,2,2879216
"23",56,"(2) affiliate","Mitsui O.S.K. Lines",0,0,9807,0,9807,1,0,0,1,0,2,2879216
"24",66,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,34148,19701,0,53849,0.535989023632259,0,0.634143623837026,0.365856376162974,0,2,2879216
"25",67,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,0,49143,0,49143,1,0,0,1,0,2,2879216
"26",68,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,0,23667,0,23667,1,0,0,1,0,2,2879216
"27",69,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,7594,26625,0,34219,0.654653087717108,0,0.2219234927964,0.7780765072036,0,2,2879216
"28",70,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,8650,72346,47417,128413,0.458288938126458,0,0.0673607812293148,0.563385327030752,0.369253891739933,2,2879216
"29",71,"(3) wholly-controlled","Mitsui O.S.K. Lines",5490,0,21015,0,26505,0.671544818560998,0.207130730050934,0,0.792869269949066,0,2,2879216
"30",72,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,12914,0,0,12914,1,0,1,0,0,2,2879216
"31",75,"(3) wholly-controlled","Mitsui O.S.K. Lines",50142,4027,0,0,54169,0.862370465398725,0.925658587014713,0.0743414129852868,0,0,2,2879216
"32",87,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,0,22599,0,22599,1,0,0,1,0,2,2879216
"33",88,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,0,15763,0,15763,1,0,0,1,0,2,2879216
"34",89,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,0,3765,0,3765,1,0,0,1,0,2,2879216
"35",90,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,0,9536,503,10039,0.904811756115489,0,0,0.949895407909154,0.0501045920908457,2,2879216
"36",91,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,0,7454,0,7454,1,0,0,1,0,2,2879216
"37",94,"(3) wholly-controlled","Mitsui O.S.K. Lines",0,0,5640,0,5640,1,0,0,1,0,2,2879216
